##### NEXT_HD rejection factors #####
source,energyRes,spatialDef,bb0nu,bb0nu_err,Xe137,Xe137_err,Bi214,Bi214_err,Tl208,Tl208_err

# ACTIVE
ACTIVE,0.5,3x3x3,0.24592301255230126,0.0004536444818834991,5.6810982048574446e-05,1.7319133544727272e-06,,,,

# READOUT_PLANE
READOUT_PLANE,0.5,3x3x3,,,,,7.807807807807808e-08,8.840601467795643e-09,6.779284285396755e-08,8.679984080803127e-09

# FIELD_CAGE
FIELD_CAGE,0.5,3x3x3,,,,,6.3e-08,7.937253933193772e-09,6.777777777777777e-08,8.678055195451838e-09

# INNER_SHIELDING
INNER_SHIELDING,0.5,3x3x3,,,,,1.1603481044313294e-08,1.077356168277384e-09,4.5e-08,6.70820393249937e-09

# CATHODE
CATHODE,0.5,3x3x3,,,,,1.0024057738572574e-09,1.0024057738572574e-09,,
