exposure,90%CL,99.7%CL
1000,3.0459844279255892e+26,1.2511624220532345e+26
2000,5.9957437873397754e+26,2.4784405296495725e+26
3000,8.856108265512495e+26,3.682895374288437e+26
4000,1.1633247630304112e+27,4.8655143616533716e+26
5000,1.4332753477268602e+27,6.0233767581871274e+26
6000,1.6959709107860096e+27,7.160212907999464e+26
7000,1.9518749148161653e+27,8.2675863541815e+26
8000,2.201411062176241e+27,9.349476732882487e+26
9000,2.4449676875377303e+27,1.0414795305151271e+27
10000,2.681535024145614e+27,1.1458315024030476e+27
11000,2.913995303741954e+27,1.249016385371396e+27
12000,3.141468541639792e+27,1.3500042173309588e+27
13000,3.3642355386583603e+27,1.4499415363156646e+27
14000,3.5728521151205203e+27,1.5485155063531106e+27
15000,3.774049027748984e+27,1.6451001018941733e+27
16000,3.9714129874661554e+27,1.7409780833706722e+27
17000,4.164350922512602e+27,1.8349444099515404e+27
18000,4.357991162086849e+27,1.9283516134319554e+27
19000,4.5451694513914245e+27,2.0200106134580956e+27
20000,4.7298504010336527e+27,2.1105766103913818e+27
21000,4.9119585872070716e+27,2.200692809468409e+27
22000,5.091676181100842e+27,2.289202079591386e+27
23000,5.269159483725233e+27,2.3784905259568475e+27
24000,5.441552811547096e+27,2.467374123300588e+27
25000,5.614924014538411e+27,2.5552884360865236e+27
26000,5.783354954875243e+27,2.642258191234922e+27
27000,5.949965833586449e+27,2.728307494851288e+27
28000,6.114608977681905e+27,2.8127897877122275e+27
29000,6.277796774375083e+27,2.8970581852847754e+27
30000,6.439529995775012e+27,2.9804760333451277e+27
31000,6.599827004922971e+27,3.062562380640946e+27
32000,6.753278223647162e+27,3.144320490443206e+27
33000,6.910982174573835e+27,3.225291145237886e+27
34000,7.064223522137201e+27,3.3054940532023966e+27
35000,7.213792123402873e+27,3.3849483183750747e+27
36000,7.362729623508294e+27,3.4633658477172895e+27
37000,7.511229354062433e+27,3.5412266292959017e+27
38000,7.658262553102933e+27,3.6178074454232867e+27
39000,7.806214305408551e+27,3.693714161641381e+27
40000,7.951583163015298e+27,3.768263093657713e+27
41000,8.09789924730714e+27,3.8417819654500403e+27
42000,8.238683550337615e+27,3.9150994941973934e+27
43000,8.383466306734626e+27,3.98746927991111e+27
44000,8.522949627026293e+27,4.058248904594927e+27
45000,8.666314696568711e+27,4.128559797632537e+27
46000,8.804605058730254e+27,4.198415162148087e+27
47000,8.937747211053347e+27,4.266465042815719e+27
48000,9.07907975988132e+27,4.3354459690379855e+27
49000,9.21566009315843e+27,4.404175823729049e+27
50000,9.348675330275218e+27,4.47096780724672e+27
